<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GAZP,D,20200731,000000,182.6000000,184.8400000,181.6100000,182.5900000,44.920.000
GAZP,D,20200803,000000,182.5100000,184.0300000,181.7200000,183.6000000,28.651.930
GAZP,D,20200804,000000,184.0600000,184.6800000,182.1700000,183.3100000,32.428.960
GAZP,D,20200805,000000,183.5200000,189.9800000,183.3500000,189.1500000,75.423.620
GAZP,D,20200806,000000,189.5600000,189.9200000,187.1300000,189.0700000,42.849.450
GAZP,D,20200807,000000,188.4400000,188.5700000,185.8100000,187.2300000,28.808.600
GAZP,D,20200810,000000,187.4900000,188.8500000,186.8300000,187.7000000,24.226.570
GAZP,D,20200811,000000,187.8800000,192.4000000,187.8800000,189.7000000,51.902.080
GAZP,D,20200812,000000,190.4700000,193.2900000,189.3200000,192.8000000,35.583.620
GAZP,D,20200813,000000,192.5000000,194.4400000,191.2500000,193.7600000,37.819.700
GAZP,D,20200814,000000,194.2500000,194.2500000,190.7100000,192.8300000,29.780.320
GAZP,D,20200817,000000,193.8400000,194.6800000,189.2000000,190.4700000,55.677.760
GAZP,D,20200818,000000,190.0700000,191.9500000,189.2500000,190.3000000,27.776.390
GAZP,D,20200819,000000,190.5000000,191.9900000,189.0000000,189.2600000,31.452.990
GAZP,D,20200820,000000,188.8000000,188.9400000,185.5800000,186.9500000,37.649.810
GAZP,D,20200821,000000,187.2500000,187.7900000,183.5000000,184.5100000,33.830.700
GAZP,D,20200824,000000,185.3700000,187.4400000,184.8400000,187.1000000,24.264.740
GAZP,D,20200825,000000,187.4500000,187.9900000,184.7300000,186.2500000,19.552.010
GAZP,D,20200826,000000,186.2200000,188.0000000,185.0000000,187.4800000,25.456.340
GAZP,D,20200827,000000,187.5000000,188.0100000,182.6200000,184.5800000,38.183.770
GAZP,D,20200828,000000,184.9600000,185.2200000,182.4800000,182.9000000,34.291.080
GAZP,D,20200831,000000,183.1200000,184.2800000,180.5100000,181.0100000,47.459.530
GAZP,D,20200901,000000,181.4000000,184.8700000,181.0100000,184.2200000,48.007.480
GAZP,D,20200902,000000,184.8000000,186.2900000,181.1000000,181.9500000,50.239.120
GAZP,D,20200903,000000,182.4000000,182.5900000,178.6000000,179.1300000,62.908.720
GAZP,D,20200904,000000,178.9800000,180.5600000,178.0000000,179.5500000,43.008.870
GAZP,D,20200907,000000,178.8200000,179.7500000,175.9400000,177.0400000,38.983.590
GAZP,D,20200908,000000,177.0000000,177.4300000,172.4000000,172.9500000,63.837.660
GAZP,D,20200909,000000,172.7800000,175.3500000,172.3300000,173.6900000,41.967.040
GAZP,D,20200910,000000,173.8000000,174.6400000,171.1100000,173.8000000,34.012.170
GAZP,D,20200911,000000,174.3300000,178.2700000,173.1000000,178.0500000,36.889.720
GAZP,D,20200914,000000,178.4500000,180.8000000,177.5200000,178.1900000,37.563.920
GAZP,D,20200915,000000,178.1300000,182.9500000,178.0100000,182.2200000,42.445.100
GAZP,D,20200916,000000,182.6900000,184.1600000,181.3500000,183.2600000,37.370.250
GAZP,D,20200917,000000,181.7800000,184.8400000,180.3400000,183.9000000,49.663.210
GAZP,D,20200918,000000,184.4000000,184.7000000,181.3400000,181.5200000,45.215.700
GAZP,D,20200921,000000,181.3600000,181.3600000,175.3600000,177.1700000,41.282.960
GAZP,D,20200922,000000,176.5800000,180.9000000,176.4200000,179.0000000,36.380.350
GAZP,D,20200923,000000,179.8100000,180.3700000,176.8100000,177.0000000,31.848.780
GAZP,D,20200924,000000,176.0000000,178.4900000,171.9000000,174.2300000,49.687.540
GAZP,D,20200925,000000,175.1200000,175.1700000,169.6000000,173.7700000,96.284.070
GAZP,D,20200928,000000,174.2400000,175.3800000,171.2900000,172.7400000,50.397.970
GAZP,D,20200929,000000,172.7600000,173.4700000,170.0000000,171.4400000,48.779.600
GAZP,D,20200930,000000,171.0200000,171.9800000,169.8000000,169.9700000,48.605.100
GAZP,D,20201001,000000,171.1800000,171.4000000,167.9700000,168.4000000,60.296.370
GAZP,D,20201002,000000,167.5000000,169.9500000,167.2200000,169.4700000,40.191.130
GAZP,D,20201005,000000,170.1200000,170.8800000,168.5800000,170.6400000,37.393.020
GAZP,D,20201006,000000,170.7000000,173.4100000,170.5000000,171.3500000,64.082.980
GAZP,D,20201007,000000,171.7500000,172.2600000,167.0400000,168.2300000,65.800.100
GAZP,D,20201008,000000,168.1800000,168.8600000,166.1500000,167.4300000,36.621.350
GAZP,D,20201009,000000,167.8000000,168.1900000,165.7700000,166.9700000,41.514.910
GAZP,D,20201012,000000,167.6600000,169.8000000,166.8700000,169.0500000,38.899.590
GAZP,D,20201013,000000,169.1300000,169.4700000,165.8200000,166.3700000,34.687.990
GAZP,D,20201014,000000,166.6100000,167.6300000,165.7100000,167.2400000,26.679.740
GAZP,D,20201015,000000,166.8500000,168.8500000,166.0000000,167.1600000,39.889.410
GAZP,D,20201016,000000,167.2200000,167.2500000,163.5600000,163.9800000,50.402.810
GAZP,D,20201019,000000,164.7600000,165.6000000,163.0000000,163.6000000,33.916.860
GAZP,D,20201020,000000,163.7400000,167.1200000,162.8000000,166.5300000,50.468.030
GAZP,D,20201021,000000,166.8000000,167.3000000,163.8700000,164.3700000,36.678.920
